accession	long	lat	4k	6k	ratio
9128	45.3622	39.8692	411.43	214.3	1.919878675
9130	45.3622	39.8692	556.48	285.59	1.94852761
9131	45.3622	39.8692	645.69	329.78	1.957941658
9133	45.3622	39.8692	504.1	287.74	1.751928825
9134	45.3622	39.8692	438.9	248.58	1.765628771
915	-71.4378	41.8972	208.67	120.91	1.725829129
9298	-3.21833	55.9681	134.95	130.24	1.036164005
9312	-5.1525	57.9	234.99	216.68	1.084502492
9314	-3.96722	57.9672	306.07	284.5	1.075817223
932	-71.1445	42.3634	276.8	263.83	1.049160444
9332	13.3742	55.7488	350.17	234.33	1.494345581
9336	14.2091	55.8106	2474.1	2633.2	0.939579219
9339	14.2091	55.8106	910.28	1010.35	0.900955115
9343	18.1896	62.806	1377.22	733.05	1.878753155
9353	18.1896	62.806	1025.53	1105.19	0.927921896
9363	15.8979	57.3263	211.74	148.25	1.428263069
9369	15.8979	57.3263	307.74	334.65	0.919587629
9370	14.9986	57.6781	567.85	579.62	0.979693592
9380	13.9905	55.4234	2183.68	1225.73	1.781534269
9381	14.2091	55.8106	649.02	357.02	1.817881351
9383	13.399	55.7491	759.26	471.83	1.609181273
9392	16.1494	57.2746	1580.75	926.97	1.705287118
9413	14.3398	55.5678	1629.38	1739.61	0.936635223
9436	18.5162	57.8009	1372.65	815.87	1.682437153
9503	-3.21072	55.8877	392.28	382.66	1.025139811
9506	-7.47	40.11	505.47	506.2	0.998557882
9507	-7.5	38.45	244.63	239.2	1.022700669
9508	-7.11	40.04	371.08	359.79	1.031379416
9509	-7.4	39.29	257.72	237.78	1.083859029
9510	-7.59	38.75	372.29	224.33	1.659564035
9511	-8.02	38.53	401.95	248.7	1.616204262
9512	-7.84	38.22	430.36	437.66	0.983320386
9513	-4.07	38.77	477.63	294.38	1.622494735
9514	-4.54	39.15	422.48	249.82	1.691137619
9515	-6.89	39.72	314.85	185.65	1.695933208
9517	-7.8	42.19	327.45	324.02	1.010585766
9518	-0.36	39.88	490.52	473.76	1.035376562
9519	2.64	41.94	339.53	199.21	1.70438231
9520	-3.68	41.7	490.8	475.37	1.032458927
9521	2.13	41.43	440.7	431.24	1.021936741
9522	-5.27	36.52	337.98	323.85	1.043631311
9523	-2.66	38.37	393.18	241.82	1.625920106
9524	-0.56	42.52	407.55	398.01	1.023969247
9525	0.54	42.49	339.77	319.15	1.064609118
9526	2.39	41.54	336.05	322.31	1.042629766
9527	-5.74	40.37	354.44	227.85	1.555584815
9528	-1.37	40.94	297	295.06	1.006574934
9529	-3.36	36.97	326.47	197.01	1.657124004
9530	-4.32	38.25	391.22	221.56	1.765751941
9531	-4.54	41.21	238.94	235.52	1.01452106
